,,before,sentence,after,final
75,3676,Hamid Mian and Congress became uncomfortable on hearing that ???,Do read the entire post till the end to know.,"Before knowing the Khilafat, let's first know the Khalifa, Khalifa is an Arabic word called Caliph (Khalif) in English or Khalifah (Khalifa) in Arabic, so which is Khalifa ???",none
76,3677,"Answer - Pir, Fakir, Sai are being worshiped by Hindus forgetting the divine, demons of vampire culture are being set up in Hindu temples and houses, worshiped, yet ask what destruction black opposite worship is?",The tomb or tomb belongs to a dead man.,"In Hindu society, if a person keeps four steps behind the person who dies, then they have to come home and take a bath.",none
77,3678,"3- Iraq: - Shia Sunni fight and bomb blasts 4-Iran: Hate Sunni, hate Saudi Arabia 5-Libya: bomb blasts 6-Syria: Riots, bomb blasts 7-Egypt: Shia-Sunni conflict 8-Bangladesh : In the days of bomb blasts, Muslim is still persecuted in India, it is not safe here.","Here, they start burying the dead and putting green sheets on it and occupying the land.",Yet it is unsafe whenever people like Maulana Barkati abuse the Prime Minister.,oppression
78,3679,"Muslims murdered Nikhil Chandra, a Dalit Hindu tailor in Bangladesh.",All Ambedkarites remain silent.,"* I ask Ambedkar players, do you know about Baba Saheb?",none
79,3680,Here Begum of Jehadi becomes 'Bewa'.,She then becomes the hurricane of the locality.,".Also, ""Allah happy, mullah happy and mohalla happy 😂 😂   ..""",none
80,3681,"● 13 May 2008 - Serial blast by RDX, 63 killed, 200 injured, Harkat-ul-Jihad ul Islami at 9 places in Chhoti Chaupar, Badi Chaupar, Manakpur Police Station Area, Johari Bazaar, Tripolia Bazar, Kotwali area of ​​Jaipur.",Responsibility.,"● 25 July 2008 - 8 serial blasts in Bangalore, 2 dead 20 injured ● 26 July 2008 - Serial bomb blasts at 17 places in Ahmedabad, Gujarat, 35 dead 110 injured… Mufti Abu Bashir Master Mind… Abdul Qadir, Achieved Mohammed, Hussain Imbrahim jointly carried out the bombings with the help of a network sitting in Karachi (Pakistan).",none
81,3682,"* Today, the country is in great need of Muslim leaders like Khan Abdul Ghaffar Khan.",Hindu-Muslim unity Zindabad.,"Love Zindabad, Hindustan Zindabad.",action
82,3683,ग The throttle of democracy by putting an emergency in the country.,"भारत ""Bharatmata Ki Jai"" does not give the slogan of ""Vande Mataram"" to anyone.",सैक Hundreds of sadhus were killed in 1966 by shooting at the sadhus who were agitating for protection.,none
83,3684,"* * And of course, once again apologizing to the Kashmiri displaced Hindu siblings.",* Jai Hind.,* * May the truth reach everyone as much as possible.,none
84,3685,Narendra Modi ji is also saying the same.,"Clean India, Congress-free India, corruption-free India!","If India becomes Congress-free, then the communist mess that the Congress has spread will automatically end.",none
85,3686,Everyone will have to think what is this?,"My country, first and foremost .......!","Only when everyone repeats this statement, only then will my country be able to change.",none
86,3687,Humming the thing!,"And second of all, we should together boycott them * Economic boycott wherever we put shops in fairs, we should boycott them!",,action
87,3688,.. Yoga was banned now !!,.. We reached home!,The children were ready to go to school!,none
88,3689,"_ * But until after reading Arabic literature and philosophy in madrasas, the infidels Islamic terrorism (jihad) cannot be controlled until hatred against it continues.",* _ The main philosophy of jihadis is to mold society with different cultures and ideologies.,Those who do not accept it (Islam) are called enemies of jihadis.,culture
89,3690,For a refreshing change ... the attacker was not a Muslim.,The attacker was a common Christian citizen of New Zealand.,Bhai had also streamed the video of the attack live and uploaded his manifesto online.,none
90,3691,,* Love_Jehad 👉  * 👉 * An uneducated settler Muslim woman also recites the 👉  Quran ..,* 👉 * He must have a marriageable girl here 👉  to read the Quran.,culture
91,3692,"Keeping the army low, they lack the means, legal gripes over them, making the job compulsive, it is part of this that in the event of widespread riots in which machine guns and grenades are used, the army work is only till the curfew Be limited 7 Comprehensive Riots: This is the last stop of Gajwa-e-Hind in which more and more Kafir or non-Muslim men will be killed and their resistance reduced in a very short time.","Pakistan's invasion of India would be the most suitable time for Gajwa-e-Hind, which is frequently seen on Pakistani websites.","For this work, when the jihadi boys die, the young jihadis are said to have got 42 handsome young men and if they win, then infinite opportunities for cohabiting with young Kafir women are also proposed.",none
92,3693,The Arabs stayed in Sindh for a long time and through their creepy attitude brought Hindus to Islam.,Non-Muslim converts also started doing Islamization of Hindus.,"All the tribes, tribes, exploited, oppressed and downtrodden people from Sindh to Bluechistan were Hindus.",oppression
93,3694,Clapped beating in the kirtan.,"1350 years passed, but Ishwar did not take an avatar and neither would take an avatar for Hezado.","God will incarnate, not for Arjuna, but for Hejdo.",none
94,3695,"They deal in bulk with companies making direct cold drinks, namkeen etc., and then supply them in every hotel.","As far as possible, these purchases are done by Muslims only.","The Muslim who supplies inverters, batteries, RO etc.",culture
95,3696,So nobody was aware.,What will happen next How will live Where will you live?,This story was not about one house.,none
96,3697,,Muslim mother gives birth to * Kalam * only!,But maulvi make him * Kasab * in madrasa!,none
97,3698,1 little girl who had killed herself in love with her religion when not only her family had succumbed but her entire area had changed its name to Islamic form.,Sadly It is that the fake Kalamkars did not write a single word about this heroine of South India simply because it would have affected their so-called secular principles .. whether it is an innocent child or someone else who sacrificed ..,"The day of 23 February 1981 That was when Dr. Nasruddin Kamal was holding a Dalit family hostage in Meenakshipuram, Tamil Nadu, along with his colleagues.",culture
98,3699,"Jihad is not coming from across the border in India, Jihad has arrived in India.","Sunday 10/01/2016, 2.50 Lakhs The outbreak of violence in Malda, West Bengal, by the supporters of Islam is the beginning of Jihad from the eastern part of India.","Mamta Banerjee played the same role as Suhrawardy, the then Chief Minister of Bengal in 1946/47.",oppression
99,3700,,"Once Albert Einstein had said that if a Muslim is illiterate, he will do jihad with a little bit of writing, then he will do jihad with a gun.","If a Muslim becomes a scientist, he will do jihad with an atom bomb but he will do jihad, whether he is a poor Muslim or Wealthy Muslims have proved this today when educated rich Muslims are also getting praised and propagating ISIS, read Hindu religion does not get entangled with religion, but Jihad in every Muslim's mind on one side and Pakistan and Arabia on the other It is useless to expect patriotism from them",culture
